run_name	holdout	context_config	context_label	seed	selected_k	best_epoch	nmf_relative_reconstruction_error	total_parameters	trainable_parameters	validation_loss	validation_accuracy	validation_balanced_accuracy	validation_macro_f1	validation_weighted_f1	validation_macro_ovr_auroc	validation_macro_auprc	validation_antagonism_precision	validation_antagonism_recall	validation_antagonism_f1	validation_antagonism_support	validation_antagonism_auroc	validation_antagonism_auprc	validation_no_interaction_precision	validation_no_interaction_recall	validation_no_interaction_f1	validation_no_interaction_support	validation_no_interaction_auroc	validation_no_interaction_auprc	validation_synergy_precision	validation_synergy_recall	validation_synergy_f1	validation_synergy_support	validation_synergy_auroc	validation_synergy_auprc	test_loss	test_accuracy	test_balanced_accuracy	test_macro_f1	test_weighted_f1	test_macro_ovr_auroc	test_macro_auprc	test_antagonism_precision	test_antagonism_recall	test_antagonism_f1	test_antagonism_support	test_antagonism_auroc	test_antagonism_auprc	test_no_interaction_precision	test_no_interaction_recall	test_no_interaction_f1	test_no_interaction_support	test_no_interaction_auroc	test_no_interaction_auprc	test_synergy_precision	test_synergy_recall	test_synergy_f1	test_synergy_support	test_synergy_auroc	test_synergy_auprc
unseen_both__context-regulons_programs__K30__seed46__druggroup-scaffold__drugtest-any	unseen_both	regulons_programs	Regulons + programs	46	30	5	0.0708068132817992	8477347	8477347	1.30944963943411	0.5804052321107976	0.4736649870457492	0.4352717382127061	0.621802142149814	0.6507244167950891	0.42447291551521027	0.24142480211081793	0.34923664122137404	0.28549141965678626	524	0.5972086513994911	0.2054625659630092	0.8575992697398448	0.6477076870044812	0.7380204241948154	2901	0.7118058937592524	0.870085226521633	0.21157894736842106	0.4240506329113924	0.28230337078651685	474	0.6431587052265237	0.19787095406098865	1.479319805918666	0.5913021991598715	0.4204119175366012	0.4005186921469008	0.6256006433871896	0.617074911921539	0.3982518453095288	0.1493660855784469	0.23740554156171284	0.1833657587548638	1588	0.5474744660294676	0.12247023094213327	0.828248031496063	0.6838127742564603	0.7491320217217128	12306	0.6623119302036437	0.8560836998701071	0.2226027397260274	0.3400174367916303	0.26905829596412556	2294	0.6414383395315058	0.216201605116346
unseen_cell_line__context-expression_programs__K20__seed42__druggroup-scaffold__drugtest-any	unseen_cell_line	expression_programs	Expression + programs	42	20	4	0.1159001728765257	8520483	8520483	1.078447589686148	0.7104336606381351	0.5619155164178028	0.5049301742201763	0.7424478545373792	0.7406709087122366	0.48450329366662404	0.2262636612021858	0.3454118873826903	0.2734213784564589	3836	0.6429690077299522	0.19201227979954794	0.9204733881717982	0.7667786143762526	0.8366258366701635	36922	0.8169386952330497	0.9453985444530199	0.3127057274522712	0.5735560474944656	0.40474330753390614	4969	0.7621050231737079	0.31609905674730443	1.1893869965254578	0.6566720806975551	0.5321595346926845	0.4820550352986838	0.6917204989837601	0.704193663611116	0.4663179307926583	0.23914194915254236	0.37453338863542096	0.2919023759495717	4822	0.6084919883620532	0.22523802219949296	0.8904128237416193	0.7165393147646044	0.7940694427582858	36513	0.7814499456615525	0.9275298843712155	0.2798011565385006	0.5054059006780283	0.3601932871881938	5457	0.7226390568097425	0.24618588580726633
unseen_cell_line__context-expression_programs__K5__seed43__druggroup-scaffold__drugtest-any	unseen_cell_line	expression_programs	Expression + programs	43	5	4	0.2369780967573789	8519523	8519523	1.0739747044932044	0.710346184967306	0.5376608054038329	0.4919991462109581	0.7421170436443135	0.7206095824802378	0.47598126767774246	0.1825224666873257	0.30709071949947864	0.22896015549076773	3836	0.5993221048448667	0.14792205284181673	0.9161022364217253	0.7766101511294079	0.840608601330949	36922	0.8205949396030202	0.9479018334663851	0.3298632885990217	0.5292815455826122	0.4064286818111575	4969	0.7419117029928262	0.33211991672502555	1.2588965818400586	0.6028808343306548	0.5395745061904837	0.4619110669121669	0.6545146807115716	0.6890058193828498	0.4510026362602506	0.21959002127248115	0.4709664039817503	0.2995251912424162	4822	0.6161902889889848	0.21070663624787533	0.9152522255192879	0.6335551721304741	0.7487861720722471	36513	0.786254691755647	0.9303179586474188	0.25109619686800894	0.5142019424592267	0.3374218374218374	5457	0.6645724774039174	0.21198331388545769
unseen_cell_line__context-expression_programs__K30__seed44__druggroup-scaffold__drugtest-any	unseen_cell_line	expression_programs	Expression + programs	44	30	3	0.0752832726383742	8521123	8521123	1.08265171703917	0.7270977759310692	0.5297319302454456	0.4968356431435808	0.7522754982270746	0.7238110968512217	0.47223643553592165	0.19867340492735314	0.32794577685088633	0.24744295830055074	3836	0.6330603445024875	0.16265823009391822	0.9082936071384916	0.8050213964573967	0.8535450707865491	36922	0.8130304177928265	0.9442784416288286	0.33982911107779945	0.45622861742805393	0.3895189003436426	4969	0.725342528258351	0.30977263488501805	1.2392700452604015	0.5917464523850231	0.5251704817941367	0.45173835755840597	0.6443566175383119	0.6893999806162286	0.44408239976930924	0.19267670099463075	0.45396101202820405	0.2705308039300501	4822	0.6181613226923262	0.18842117967086364	0.9036646307606885	0.6240243201051681	0.7382506844654689	36513	0.7524694163504028	0.9189103890417056	0.2657335812860918	0.49752611324903795	0.3464335842796989	5457	0.6975692028059572	0.22491563059535838
unseen_cell_line__context-expression_programs__K5__seed45__druggroup-scaffold__drugtest-any	unseen_cell_line	expression_programs	Expression + programs	45	5	5	0.2369780967287275	8519523	8519523	1.0340426042025856	0.7224178275417149	0.5456280611709556	0.5019083228562637	0.7486560632737133	0.7446499389337502	0.4924493834411881	0.20512820512820512	0.29822732012513037	0.24306809731222778	3836	0.614583843879651	0.1671571794175647	0.9103764749953175	0.7898542874167164	0.8458437264342479	36922	0.8252405403893179	0.949400042824573	0.33600295712173484	0.5488025759710203	0.41681314482231563	4969	0.7941254325322817	0.36079092808142654	1.2698274364958952	0.6135023080868525	0.5358212225117976	0.46431103976193583	0.6631130945180853	0.6969342529814483	0.446648002519986	0.21718701054610004	0.4313562836997097	0.2889089520105563	4822	0.6174014600502205	0.18680304488066146	0.9141274238227147	0.6507271382795169	0.7602591792656588	36513	0.7821858406690829	0.9305297788179012	0.25545754254655617	0.5253802455561664	0.3437649880095923	5457	0.6912154582250415	0.2226111838613953
unseen_cell_line__context-expression_programs__K15__seed46__druggroup-scaffold__drugtest-any	unseen_cell_line	expression_programs	Expression + programs	46	15	10	0.1442683810459154	8520163	8520163	1.2226684825201968	0.7195967371574781	0.5196704087883983	0.4858070590916587	0.7439251894706425	0.7253276835385746	0.4586031790164309	0.20533033033033032	0.2851929092805005	0.23876036665211697	3836	0.6045832045273462	0.15745912902715814	0.9018070444104135	0.7974649260603435	0.8464324728338987	36922	0.8061869703927315	0.9422064460068036	0.305458768873403	0.476353391024351	0.37222833778896053	4969	0.765212875695646	0.2761439620153309	1.4542980683035351	0.6056590870234229	0.533008438882221	0.46095659146791507	0.6538007545074455	0.6923422387957179	0.44956711469119676	0.21426406707748258	0.4398589796764828	0.28815977175463625	4822	0.6203605417430454	0.18970006847889398	0.898678244832091	0.6405663736203544	0.747981259693951	36513	0.7579112010521172	0.9189131433153032	0.2604214594644336	0.5185999633498259	0.34672874295515804	5457	0.6987549735919911	0.24008813227939316
unseen_cell_line__context-expression_regulons_programs__K10__seed42__druggroup-scaffold__drugtest-any	unseen_cell_line	expression_regulons_programs	Expression + regulons + programs	42	10	3	0.1809861405643911	8750435	8750435	0.9938894238804531	0.7258949854571697	0.5744343603922493	0.5134658913451208	0.7559527504680398	0.7576850913080223	0.4965295991442848	0.21424468696151636	0.29171011470281544	0.2470471354454134	3836	0.6313497472672822	0.18030991682045533	0.9346381930717133	0.7811602838416121	0.8510349507974211	36922	0.8455246692991636	0.9549838614551149	0.3350959046137895	0.6504326826323203	0.4423155877925277	4969	0.7961808573576212	0.354295019157284	1.1419461884036353	0.6035219695674474	0.5394853629739441	0.4621664395878704	0.655633285287566	0.7060337691217901	0.45353434084611827	0.21224793234829475	0.4736623807548735	0.29313996021305266	4822	0.6478878970551046	0.20894439394851025	0.9172670414060644	0.634623284857448	0.7502063941723999	36513	0.7811920504230013	0.929339724303172	0.25851982542483054	0.5101704233095107	0.3431529643781585	5457	0.6890213598872644	0.2223189042866724
unseen_cell_line__context-expression_regulons_programs__K15__seed43__druggroup-scaffold__drugtest-any	unseen_cell_line	expression_regulons_programs	Expression + regulons + programs	43	15	6	0.1442163995946477	8750755	8750755	1.1181517322702625	0.7334834999015899	0.536707118269215	0.5044894508384693	0.754805626951343	0.7225618742082308	0.4833286689004974	0.24967658473479948	0.3521897810218978	0.2922028766086298	3836	0.6279948776641618	0.20982241577259375	0.9035058632020017	0.811765343155842	0.8551822526571082	36922	0.815138639182295	0.9453000532507461	0.31037379252414954	0.4461662306299054	0.36608322324966974	4969	0.7245521057782355	0.29486353767815265	1.298917222214593	0.6477389297315781	0.5107347616247442	0.46584886703170963	0.6841095883920066	0.6944432367375701	0.4457249577221729	0.21313811868359678	0.3411447532144338	0.2623604465709729	4822	0.59355235816067	0.17737848394845657	0.8859386686611818	0.7136910141593406	0.7905410529828447	36513	0.7763677928292358	0.9275115592329795	0.2696687370600414	0.4773685175004581	0.3446451015413111	5457	0.7134095592228044	0.23228482998508285
unseen_cell_line__context-expression_regulons_programs__K30__seed44__druggroup-scaffold__drugtest-any	unseen_cell_line	expression_regulons_programs	Expression + regulons + programs	44	30	3	0.0752832726383742	8751715	8751715	1.0803723478232794	0.7213681194917664	0.5522214206408281	0.5054996249580567	0.7501183763400157	0.7292440017155645	0.47677312554006185	0.24424460431654677	0.354014598540146	0.2890591741166454	3836	0.6704316597603259	0.20653789884970286	0.9186498530387788	0.7872542115811711	0.8478917200239197	36922	0.81590155018079	0.9453047409156242	0.30037532254281024	0.5153954518011672	0.379547980733605	4969	0.7013987952055776	0.2784767368548585	1.3443874999139427	0.5733886134381946	0.5271025034976143	0.44313496589783335	0.6313650790564604	0.6726136502334038	0.44181384716839345	0.20025902541686902	0.5130651182082123	0.28807638565440147	4822	0.6326333705802183	0.20863998941990194	0.919304465265468	0.5965546517678635	0.7235703489627452	36513	0.7636060530752171	0.9215337071568707	0.23957557706626956	0.47168774051676743	0.3177581630763533	5457	0.6216015270447761	0.19526784492840765
unseen_cell_line__context-expression_regulons_programs__K20__seed45__druggroup-scaffold__drugtest-any	unseen_cell_line	expression_regulons_programs	Expression + regulons + programs	45	20	4	0.1160132458884601	8751075	8751075	1.0243241329015007	0.7327180877818357	0.5511241055939838	0.5101643133690129	0.7585235823414884	0.7429870342639419	0.48821666050305906	0.23917995444191345	0.35583941605839414	0.28607356177302734	3836	0.6735015682862736	0.1990359815435005	0.9188486536675952	0.8040734521423542	0.857638086434019	36922	0.8376453518461391	0.9533403152407915	0.3180285343709468	0.49345944858120344	0.3867812918999921	4969	0.7178141826594131	0.3122736847248851	1.2120486068040779	0.5854419558898957	0.5503968066038691	0.4603245949117984	0.640123463360576	0.7000590322366725	0.4525902296040285	0.20592462472053658	0.5348403152218997	0.2973596218148276	4822	0.6516088104645463	0.19285527208680964	0.9183179675441158	0.6028811656122477	0.7278949804907083	36513	0.7632258599272503	0.9235539397403705	0.2721180926483442	0.5134689389774602	0.35571918242985906	5457	0.685342426318221	0.24136147698490523
unseen_cell_line__context-expression_regulons_programs__K20__seed46__druggroup-scaffold__drugtest-any	unseen_cell_line	expression_regulons_programs	Expression + regulons + programs	46	20	7	0.1160399456750261	8751075	8751075	1.1848231728177512	0.7242985544645395	0.5420415563231964	0.5038853673875779	0.7497024895417863	0.7160914904058915	0.48778705360329666	0.2242014742014742	0.3806047966631908	0.28218013142636256	3836	0.6033757036266896	0.1921062824021959	0.9053492878895075	0.7971399165809003	0.8478057351903329	36922	0.8080279925257048	0.941863031959882	0.33223978526692516	0.4483799557254981	0.3816702355460385	4969	0.7368707750652802	0.32939184644781205	1.2598188099422543	0.6273935715506924	0.5423983250015784	0.4754965730935293	0.6708342193311794	0.7071174733522513	0.46540120885672426	0.23033243857113359	0.46267109083367897	0.30755445271574305	4822	0.6425965738399977	0.22709426336364902	0.8972371224924682	0.6688302796264344	0.7663774301360405	36513	0.7706903540802177	0.925015999323834	0.2735639158576052	0.4956936045446216	0.35255783642880417	5457	0.7080654921365382	0.2440933638826897
unseen_cell_line__context-programs__K20__seed42__druggroup-scaffold__drugtest-any	unseen_cell_line	programs	Programs only	42	20	7	0.1159001728765257	8246115	8246115	1.0616173059739549	0.7207120519605484	0.5528726773760639	0.507345192291325	0.7492095670833099	0.7442657015309959	0.48003271946217607	0.22520312739537024	0.3829509906152242	0.2836181098561637	3836	0.6634008504468459	0.19084481251664798	0.9134316160060353	0.7870375385948757	0.8455372081181348	36922	0.8288573566738494	0.9502981758850828	0.3285076444324178	0.48862950291809215	0.39288025889967637	4969	0.7405388974722923	0.2989551699847975	1.371814648154088	0.6201914857240554	0.5186073730519217	0.4576202704343492	0.6648400306950247	0.6874744112163439	0.4393636694478214	0.21032095657646319	0.3465367067606802	0.2617686222291846	4822	0.5806625320549025	0.16889150679042078	0.8969777189499228	0.6681455919809383	0.7658332156142581	36513	0.77344525500431	0.9247668063850325	0.2534981543480127	0.541139820414147	0.3452589734596048	5457	0.7083154465898192	0.2244326951680109
unseen_cell_line__context-programs__K5__seed43__druggroup-scaffold__drugtest-any	unseen_cell_line	programs	Programs only	43	5	3	0.2369780967573789	8245155	8245155	0.9588708693693309	0.7007238611761104	0.5702588232376269	0.5009877828457608	0.7405540926983448	0.7499392820680099	0.4801867337406707	0.19412381951731375	0.3375912408759124	0.24650233177881412	3836	0.6312878562964029	0.15293672496821578	0.9432558774354249	0.7487135041438708	0.8348004650530735	36922	0.8517869169442676	0.9557143363804691	0.31828905528772183	0.6244717246930972	0.42166055170539474	4969	0.7667430729633595	0.3319091398733273	1.0525473292861602	0.5870875363309968	0.5442609495205775	0.4530852855535911	0.6452814171508726	0.720157612365541	0.44499942945856646	0.2006262822589353	0.38531729572791373	0.2638642334729816	4822	0.6334098455899697	0.16506146368424432	0.9472601859389058	0.6055377536767726	0.7387977411701808	36513	0.8034670357582696	0.9356153315013789	0.24686398872445384	0.641927799157046	0.35659388201761083	5457	0.7235959557483838	0.23432149319007634
unseen_cell_line__context-programs__K5__seed44__druggroup-scaffold__drugtest-any	unseen_cell_line	programs	Programs only	44	5	1	0.2369780971951247	8245155	8245155	0.852028069024396	0.7251295733374156	0.5685239988768674	0.5154484999140339	0.7590063029614943	0.7950492140913133	0.49272644800646387	0.21042524005486968	0.399895724713243	0.27575049433758764	3836	0.7285261729575806	0.1791129347548605	0.9375403486120077	0.7866583608688587	0.8554976289358193	36922	0.8484602391381977	0.9537660485078375	0.34584953734745877	0.5190179110485007	0.41509737646869466	4969	0.808161230178162	0.34530036075669357	0.8977236765065668	0.6208112497862882	0.5558210367855133	0.47604699408574397	0.6732491055369852	0.761642298853919	0.46643304530022806	0.2278072837632777	0.49813355454168395	0.3126382923337238	4822	0.7395406789052678	0.20335548703205605	0.938477293316003	0.6525621011694465	0.7698297308649155	36513	0.8032740016684611	0.9351884354514696	0.2596924210332443	0.5167674546454095	0.3456729590585928	5457	0.7421122159880278	0.26075521341715857
unseen_cell_line__context-programs__K5__seed45__druggroup-scaffold__drugtest-any	unseen_cell_line	programs	Programs only	45	5	5	0.2369780967287275	8245155	8245155	0.9781291388139944	0.7383602685503095	0.5553974241739862	0.5205491474314887	0.761030414008761	0.7480643209625554	0.5005227512997774	0.2253395015669303	0.39363920750782067	0.28660909177185157	3836	0.6537106305158761	0.19334599626881843	0.9065658093797276	0.8114945019229728	0.8563997027382382	36922	0.8207719168924369	0.9453075736122369	0.3833668005354752	0.4610585630911652	0.4186386477843764	4969	0.7697104154793529	0.36291468401827687	1.2075344050800847	0.6307915883056933	0.5214033517319643	0.4638967497717184	0.6767970264218999	0.6920830311685201	0.44339303704249455	0.21341929843732926	0.4050186644545832	0.27953911114291846	4822	0.5973420335297072	0.1820572518970795	0.9100816445545998	0.6838386328157094	0.7809035325024629	36513	0.7864773048313353	0.9283842260318249	0.25418912297893187	0.47535275792560017	0.33124760566977396	5457	0.6924297551445182	0.2197376331985792
unseen_cell_line__context-programs__K5__seed46__druggroup-scaffold__drugtest-any	unseen_cell_line	programs	Programs only	46	5	1	0.2369780973747162	8245155	8245155	0.8603895092228442	0.7233144531677127	0.5648289803434957	0.5136825931863632	0.7551586998511756	0.7991971117768495	0.500639009846657	0.20884057971014494	0.3756517205422315	0.26844262295081966	3836	0.7343269820686883	0.19248708293581374	0.9281642326415578	0.7849249769784952	0.8505561588354416	36922	0.8424194768713122	0.9520963429806698	0.3489412074181244	0.5339102435097605	0.4220489977728285	4969	0.8208448763905477	0.35733360362348743	0.931017251437822	0.6014062232860318	0.547687704128862	0.4637680435542498	0.6568374240243438	0.7517283347924445	0.45826585710915285	0.21365408386421983	0.4659892160929075	0.2929786817915118	4822	0.7191243755414956	0.18760969042976106	0.936776200024553	0.6269547832278914	0.7511730926989335	36513	0.7988968779461002	0.9333950603771994	0.2535901334684913	0.5501191130657871	0.3471523561723041	5457	0.7371637508897377	0.253792820520498
unseen_cell_line__context-regulons_programs__K15__seed42__druggroup-scaffold__drugtest-any	unseen_cell_line	regulons_programs	Regulons + programs	42	15	3	0.1445345140011887	8476387	8476387	1.0392219289584286	0.7548494325015855	0.5550319273772385	0.5200865355701251	0.7722222158680022	0.7494611732098657	0.497633870404581	0.2310126582278481	0.2664233576642336	0.24745762711864408	3836	0.6126201598373294	0.172311823277143	0.9158853389071364	0.8307513135799794	0.8712435380332898	36922	0.8402186142458306	0.9530044979099126	0.36119288365544605	0.5679211108875025	0.44155844155844154	4969	0.7955447455464371	0.3675852900266875	1.1800267169324328	0.6305351342109763	0.5493442800570277	0.47636225793269227	0.6758433172999675	0.7073881689264017	0.45028594938738326	0.2380506091846298	0.36872666943177107	0.28931738670571966	4822	0.6050866605257236	0.18777097271523682	0.9174691543785736	0.6679812669460192	0.773095392807899	36513	0.7832275557198327	0.9288100972153583	0.2618729884606327	0.6113249037932931	0.3666739942844581	5457	0.7338502905336484	0.23427677823155457
unseen_cell_line__context-regulons_programs__K30__seed43__druggroup-scaffold__drugtest-any	unseen_cell_line	regulons_programs	Regulons + programs	43	30	8	0.0749045501437709	8477347	8477347	1.123350427322109	0.7569269796837754	0.5399615035188451	0.5199489431088758	0.7699047314471171	0.75453102645622	0.50452157850782	0.25757304176375695	0.3746089676746611	0.3052575677110993	3836	0.6826726925175419	0.22405789960267813	0.897071514872562	0.8445913005796002	0.8700407343340215	36922	0.8253317528263229	0.9481844123930216	0.3696620868919421	0.4006842423022741	0.3845485272815065	4969	0.7555886340247955	0.3413224235277601	1.3348567919112369	0.6308129594802531	0.5351182461259968	0.4733953624980412	0.6737297861146939	0.7041771566688636	0.45867906840829686	0.22071088165210484	0.4610120282040647	0.2985094668994226	4822	0.6433249510547865	0.21447541311809848	0.8957255058091136	0.6777859940295238	0.77166287300053	36513	0.7718636898230333	0.9255069453800742	0.2800571994280057	0.4665567161444017	0.35001374759417103	5457	0.6973428291287711	0.2360548467267179
unseen_cell_line__context-regulons_programs__K15__seed44__druggroup-scaffold__drugtest-any	unseen_cell_line	regulons_programs	Regulons + programs	44	15	3	0.1442696601762267	8476387	8476387	0.9661784081309196	0.7418374264657642	0.5531099973355201	0.5124867274389516	0.7651756656451193	0.7474944065740204	0.48813716253828227	0.22202345458159412	0.29118873826903025	0.25194541558588024	3836	0.6352948073764801	0.16430427166347883	0.9226305609284333	0.8139049888955094	0.8648640870303483	36922	0.847643118367216	0.9543989707457234	0.33895384615384616	0.5542362648420205	0.42065067970062625	4969	0.7595452939783653	0.3457082452056445	1.155806010075972	0.6238886989228928	0.5495163892013868	0.474601605804346	0.6718181788389351	0.7031749649681583	0.45313887928512037	0.2475169890224778	0.3927830775611779	0.30367163700497035	4822	0.604705448194465	0.1998036574696828	0.9221651066441614	0.6583682524032536	0.7682523449609306	36513	0.7921365070025168	0.9325026532482735	0.24938800489596083	0.5973978376397288	0.35188083544713694	5457	0.7126829397074932	0.22711032713740492
unseen_cell_line__context-regulons_programs__K5__seed45__druggroup-scaffold__drugtest-any	unseen_cell_line	regulons_programs	Regulons + programs	45	5	2	0.2369780967287275	8475747	8475747	0.9433311992051665	0.7129923240098848	0.5493763581767444	0.4994422439162783	0.7443077073017759	0.7473030720394774	0.4849520292865739	0.20270270270270271	0.3284671532846715	0.25069637883008355	3836	0.6484544656823139	0.18514084926326563	0.9184197024114931	0.7756892909376524	0.8410419052653217	36922	0.8266875892672556	0.9488545072720981	0.3246067010928306	0.543972630307909	0.4065884476534296	4969	0.7667671611688628	0.3208607313243578	1.0704676608261563	0.5913617712429475	0.5529767690825395	0.46146972180094775	0.6473725599850559	0.7092465259619732	0.45534282122566755	0.20989563200618477	0.45043550394027376	0.28635464733025706	4822	0.6206024908471388	0.20534285469017538	0.9369756755617386	0.6087147043518747	0.7379885114719261	36513	0.7873506236234191	0.9305797596982137	0.2572506484319736	0.59978009895547	0.36006600660066007	5457	0.7197864634153615	0.23010584928861333
unseen_cell_line__context-regulons_programs__K15__seed46__druggroup-scaffold__drugtest-any	unseen_cell_line	regulons_programs	Regulons + programs	46	15	2	0.1442683810459154	8476387	8476387	0.9733724005538755	0.7300938176569641	0.5620897515506643	0.512714127918075	0.7592889452804373	0.7508538513085233	0.4943411477855237	0.2297558405058844	0.3409801876955162	0.2745303809423864	3836	0.6668600270740871	0.2005597064534805	0.9302495165023303	0.7946752613617897	0.8571345106115712	36922	0.8427080419790683	0.9528831618796595	0.3221476510067114	0.5506138055946871	0.4064774922002674	4969	0.7429934848724143	0.32958057502343113	1.1270607708457965	0.5692426055736023	0.5438597629615302	0.444894882492171	0.628891066925462	0.7005391120413176	0.4446750788841993	0.19803879769771904	0.38531729572791373	0.2616164460715292	4822	0.5871557689633735	0.17905344468039813	0.9464869463973848	0.5788623230082436	0.7183740058459656	36513	0.7918486757466839	0.9316414700848676	0.24152795278201472	0.6673996701484332	0.3546941955590183	5457	0.7226128914138954	0.2233303218873321
unseen_drug__context-expression_programs__K10__seed42__druggroup-scaffold__drugtest-any	unseen_drug	expression_programs	Expression + programs	42	10	4	0.1810551832650028	8519843	8519843	1.0213316269496049	0.647996906067293	0.6178113494897728	0.5468542038646862	0.6795592773768945	0.7810325680060517	0.56385242891929	0.2994343624793778	0.5106511254019293	0.37750705690090625	4976	0.7447540683931186	0.3144985607915884	0.9105023223808705	0.6622352904376114	0.7667735100776878	31969	0.807587225312209	0.9144231342418847	0.390539324003601	0.6805476326297776	0.4962820446154646	7012	0.7907564103128275	0.46263559172439667	0.8532560112297902	0.6927867405482273	0.6497466381341062	0.5393484434826759	0.7315394177767726	0.8073137509958254	0.5670081221943354	0.30288864916696634	0.5198518823287389	0.3827627991517722	4861	0.7803020566076206	0.3349712494465662	0.9353089700996677	0.7056405526257745	0.8044024869708329	49871	0.8139280622747403	0.946055795009348	0.3067516928538558	0.7237474794478052	0.4308800443254225	6447	0.8277111341051152	0.4199973221270918
unseen_drug__context-expression_programs__K15__seed43__druggroup-scaffold__drugtest-any	unseen_drug	expression_programs	Expression + programs	43	15	8	0.1455574343729992	8520163	8520163	1.1669791549444877	0.6445389812771573	0.602171105667889	0.5421819961334046	0.6709233366804614	0.7641096901333753	0.5718560433751777	0.31438012762078393	0.5544614147909968	0.40125072716695753	4976	0.7589906912972938	0.3649771771113591	0.8662666612974671	0.6729018736901373	0.7574381183761135	31969	0.774386928244311	0.88744872746556	0.39244298415152684	0.5791500285225328	0.46785714285714286	7012	0.7589514508585209	0.46314222554861406	0.9532599998838824	0.7348763464587522	0.6618339262789569	0.5729545054408296	0.7624492910422714	0.8134630768887104	0.5995324252123893	0.329486717153504	0.563875745731331	0.4159332321699545	4861	0.797089523060482	0.4046173208137599	0.9227253943946134	0.7611638026107357	0.8341940446104824	49871	0.8140339828792241	0.9433559460531873	0.3632795836532719	0.6604622304948038	0.46873623954205196	6447	0.829265724726425	0.4506240087702206
unseen_drug__context-expression_programs__K10__seed44__druggroup-scaffold__drugtest-any	unseen_drug	expression_programs	Expression + programs	44	10	19	0.1810552418464223	8519843	8519843	1.4613784939239833	0.6637623131696886	0.6066861454956879	0.5545689620702947	0.6869986274213264	0.764015206907354	0.574813393461609	0.33536198808165335	0.5315514469453376	0.4112570939905154	4976	0.7441626170256415	0.3597528377398712	0.8691588785046729	0.7010854265069286	0.7761271556201953	31969	0.7841957624364018	0.9009413451178688	0.4005640377321793	0.5874215630347975	0.4763226366001735	7012	0.7636872412600189	0.46374599752708684	1.3000741778452922	0.718710668693506	0.6172160703740971	0.5412972911503547	0.7478951216758711	0.7819184166376214	0.5608781082046367	0.3021773765268189	0.4682164163752314	0.3673041232954087	4861	0.7510832501180461	0.33387447839550694	0.9121110788019773	0.7547672996330532	0.8260130130898956	49871	0.7931942382695072	0.936379492471948	0.3274093222392762	0.6286644951140065	0.4305747370657601	6447	0.801477761525311	0.4123803537464551
unseen_drug__context-expression_programs__K10__seed45__druggroup-scaffold__drugtest-any	unseen_drug	expression_programs	Expression + programs	45	10	11	0.1807670268149693	8519843	8519843	1.3266519711506681	0.6822804104010738	0.6068618480063019	0.5653988792871804	0.7017715189428156	0.7685041401410754	0.5730446882362209	0.37569316081330867	0.49015273311897106	0.42535751656784093	4976	0.7419053750400786	0.35698881351484446	0.8704553082000224	0.7301761081047264	0.7941686796175961	31969	0.795770927850703	0.9056356071690609	0.3952854996243426	0.6002567027952083	0.4766704416761042	7012	0.7678361175324446	0.4565096440247575	1.0249350516816649	0.7433759950309747	0.6592466196783638	0.5800648142337982	0.7685997554965491	0.8216390867101105	0.6113990318831456	0.38006756756756754	0.5091544949598849	0.4352413611184384	4861	0.7974431717459716	0.41338246032510984	0.9216760792572031	0.7722925146878947	0.8403975605232438	49871	0.822427771857973	0.9472102008769983	0.3485519062038978	0.696292849387312	0.4645555210597123	6447	0.8450463165263873	0.4736044344473288
unseen_drug__context-expression_programs__K30__seed46__druggroup-scaffold__drugtest-any	unseen_drug	expression_programs	Expression + programs	46	30	10	0.0744703776004469	8521123	8521123	1.2453708701781667	0.6579384398389335	0.6083894643039401	0.5513940280651103	0.683130044139763	0.7724314540407491	0.5806920000501818	0.31506090808416387	0.5717443729903537	0.4062544623732686	4976	0.7646596250700419	0.36050893643471815	0.8707825403067243	0.6926710250555226	0.7715813864353037	31969	0.7909548023317091	0.9039077434472345	0.41402548173107295	0.5607529948659441	0.47634623538675874	7012	0.7616799347204959	0.4776593202685928	1.089289257290976	0.7041305022965396	0.6177347761949141	0.5326722874819277	0.7370853364640338	0.7822267826552437	0.5645925319093302	0.2819118157620646	0.5011314544332441	0.3608354317878833	4861	0.7566748557079539	0.33754248020115235	0.9127003883301802	0.7351968077640312	0.8143886809635397	49871	0.7892484231177066	0.9346828306991415	0.3216076338347081	0.6168760663874671	0.42279274969436026	6447	0.8007570691400706	0.4215522848276969
unseen_drug__context-expression_regulons_programs__K30__seed42__druggroup-scaffold__drugtest-any	unseen_drug	expression_regulons_programs	Expression + regulons + programs	42	30	8	0.0757369384633737	8751715	8751715	1.2087036631008994	0.6619423527538276	0.6108674066969605	0.5551778192599587	0.6877410178228385	0.7752864183025112	0.5768851266839496	0.3583071203889048	0.5036173633440515	0.41871345029239765	4976	0.7502254762213697	0.36604050170549185	0.887057974500842	0.6920766993024492	0.777529827274165	31969	0.8026823809430919	0.9126240649744173	0.37151651276932035	0.636908157444381	0.4692901802133137	7012	0.7729513977430721	0.45199081337193975	0.9840834997459786	0.72418640383138	0.6446517121103722	0.5569568470110743	0.7547688257753523	0.804396825004375	0.579558379438556	0.3210472801220132	0.5196461633408763	0.39688899363657787	4861	0.7785017743783228	0.3613992738400053	0.9253503059009276	0.7521405225481743	0.8298030019799352	49871	0.8161504967215841	0.9451414210825557	0.3341682974559687	0.6621684504420661	0.44417854541671004	6447	0.8185382039132181	0.432134443393107
